imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification,releaseyear,month,day
tt1176724,0.0,/dOuHJ6HE3CUpjuhTNCvX7sNjEeI.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,21469.0,en,Across the Hall,"Convinced that his fiancee is cheating on him, a man follows her to a hotel and calls his best friend to help him avoid a calamity.",7.266,/9B4iKnTMY1mdNj441l0y0iFxj23.jpg,"[{'id': 6372, 'logo_path': None, 'name': 'Godfather Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-08-27,0.0,93.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Your worst fears are waiting...,Across the Hall,0.0,5.924,99.0,R,2009,8,27
tt1178663,0.0,/gRifpXd3ailxdFPBZ8F1xiBQJUL.jpg,,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",https://www.sonyclassics.com/whateverworks/,19265.0,en,Whatever Works,"Whatever Works explores the relationship between a crotchety misanthrope, Boris and a naïve, impressionable young runaway from the south, Melody. When Melody's uptight parents arrive in New York to rescue her, they are quickly drawn into wildly unexpected romantic entanglements. Everyone discovers that finding love is just a combination of lucky chance and appreciating the value of ""whatever works.""",15.365,/7yMpnI8cxlcFdFGcjlNY134NMlH.jpg,"[{'id': 856, 'logo_path': '/3tfzS2CrX6Ntbu927XzHXEPDA6y.png', 'name': 'Wild Bunch', 'origin_country': 'FR'}, {'id': 1824, 'logo_path': None, 'name': 'Gravier Productions', 'origin_country': 'US'}, {'id': 12966, 'logo_path': None, 'name': 'Perdido Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-06-19,36020534.0,92.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A new comedy!,Whatever Works,0.0,7.107,1632.0,PG-13,2009,6,19
tt1179258,0.0,/xaHEopBVf5BZCrHiSdzvYgA3vdj.jpg,,23000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,22215.0,en,Chéri,The son of a courtesan retreats into a fantasy world after being forced to end his relationship with the older woman who educated him in the ways of love.,9.211,/b35rv11ebJdqCe5chVmSUZ0RIlX.jpg,"[{'id': 7058, 'logo_path': None, 'name': 'Bill Kenwright Films', 'origin_country': ''}, {'id': 2452, 'logo_path': '/6CLoZ59fLPG7UyxQtGTqRevjf58.png', 'name': 'UK Film Council', 'origin_country': 'GB'}, {'id': 591, 'logo_path': '/q5I5RDwMEiqoNmfaJgd2LraEOJY.png', 'name': 'France 3 Cinéma', 'origin_country': 'FR'}, {'id': 7981, 'logo_path': '/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png', 'name': 'Pathé', 'origin_country': 'FR'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2009-04-08,9368242.0,86.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}]",Released,Indulge in a wicked game of seduction,Chéri,0.0,6.0,190.0,R,2009,4,8
tt1179794,0.0,/fYrWYtAQoeW00vflpeVbvJjkEjb.jpg,,0.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",http://www.timerthemovie.com,39545.0,en,TiMER,"In this comedic fantasy, science has facilitated the search for a soul mate via biotechnological implants that count down to the moment one is supposed to meet his or her match. But Oona is worried: She's nearly 30, and her TiMER isn't ticking yet. Will her dream guy get snatched up by someone else?",8.398,/qT3EJsFbigbW0QeKOBEuIUyhFbF.jpg,"[{'id': 3017, 'logo_path': None, 'name': 'Present Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-05-14,0.0,99.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,When will you find the one?,TiMER,0.0,6.25,203.0,R,2009,5,14
tt1179891,0.0,/lhYlBOsmwoFlGQg9FmTsS7UMz1K.jpg,,15000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",http://www.mybloodyvalentinein3d.com/,14435.0,en,My Bloody Valentine,"Ten years ago, a tragedy changed the town of Harmony forever. Tom Hanniger, an inexperienced coal miner, caused an accident in the tunnels that trapped and killed five men and sent the only survivor, Harry Warden, into a permanent coma. But Harry Warden wanted revenge. Exactly one year later, on Valentine’s Day, he woke up…and brutally murdered twenty-two people with a pickaxe before being killed.",13.287,/9biIVOMTdvv4aj4a5HClmrK5EHB.jpg,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-01-16,102836002.0,101.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,He's gonna break your heart.,My Bloody Valentine,0.0,5.51,1058.0,R,2009,1,16
tt1179947,0.0,/imtyiqjJtzpp5nXz3JmBV7MOLJx.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",http://www.americanthemovie.com/,46105.0,en,American: The Bill Hicks Story,"American: The Bill Hicks Story is a biographical documentary film on the life of comedian Bill Hicks. The film was produced by Matt Harlock and Paul Thomas, and features archival footage and interviews with family and friends, including Kevin Booth. The filmmakers used a cut-and-paste animation technique to add movement to a large collection of still pictures used to document events in Hicks' life. The film made its North American premiere at the 2010 South by Southwest Film Festival. The film was nominated for a 2010 Grierson British Documentary Award for the ""Most Entertaining Documentary"" category. It was also nominated for Best Graphics and Animation category in the 2011 Cinema Eye Awards. Awards won include The Dallas Film Festivals Texas Filmmaker Award, at Little Rock The Oxford American's Best Southern Film Award, and Best Documentary at the Downtown LA Film Festival. On Rotten Tomatoes, 81% of the first 47 reviews counted were rated positive.",3.598,/8YGb2712WLwfcV6ZagNaolNfeYv.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2010-04-10,90275.0,102.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,American: The Bill Hicks Story,0.0,7.434,68.0,NR,2010,4,10
tt1182345,0.0,/mvUAo9ACgmLpS4Ofc2IwD4n7WCt.jpg,"{'id': 995464, 'name': 'Moon Collection', 'poster_path': '/ikkishXF69cEiOKo7sklHiM0IHW.jpg', 'backdrop_path': '/l0j6NJHWQZqCJ7H3kvTSrso6Ix2.jpg'}",5000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",http://www.sonyclassics.com/moon/,17431.0,en,Moon,"With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone.",26.862,/35IU0Mq0zFsN1mYwDGts5mKc77n.jpg,"[{'id': 3317, 'logo_path': None, 'name': 'Lunar Industries', 'origin_country': ''}, {'id': 3316, 'logo_path': '/jNx3rBqsxhf9hrIZBlfiufOK1a.png', 'name': 'Liberty Films', 'origin_country': 'GB'}, {'id': 3318, 'logo_path': None, 'name': 'Xingu Films', 'origin_country': ''}, {'id': 12018, 'logo_path': None, 'name': 'Limelight Fund', 'origin_country': ''}, {'id': 11341, 'logo_path': '/xytTBODEy3p20ksHL4Ftxr483Iv.png', 'name': 'Stage 6 Films', 'origin_country': 'US'}, {'id': 58, 'logo_path': '/voYCwlBHJQANtjvm5MNIkCF1dDH.png', 'name': 'Sony Pictures Classics', 'origin_country': 'US'}, {'id': 10583, 'logo_path': None, 'name': 'Independent', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-06-12,9760104.0,97.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The last place you'd ever expect to find yourself.,Moon,0.0,7.57,5283.0,R,2009,6,12
tt1182921,0.0,/zOau05zQVXB0XIhJ0WUslHHBOh6.jpg,"{'id': 244242, 'name': 'Ninja Collection', 'poster_path': '/5tvYqIIfHnDZMoAqjWiueQC7fPW.jpg', 'backdrop_path': '/6TF5DRIzMkXYR436Sj5GeipqmQW.jpg'}",10000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,25602.0,en,Ninja,"A westerner named Casey, studying Ninjutsu in Japan, is asked by the Sensei to return to New York to protect the legendary Yoroi Bitsu, an armored chest that contains the weapons of the last Koga Ninja.",21.419,/tKjH1IQVeUmHOlxZinQdjFHkFVG.jpg,"[{'id': 925, 'logo_path': '/dIb9hjXNOkgxu4kBWdIdK8nM4w.png', 'name': 'Nu Image', 'origin_country': 'US'}, {'id': 1020, 'logo_path': '/kuUIHNwMec4dwOLghDhhZJzHZTd.png', 'name': 'Millennium Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-10-22,194243.0,83.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,A Silent Warrior. A Lethal Mission.,Ninja,0.0,5.896,297.0,R,2009,10,22
tt1183251,0.0,/pGstkHzIbnFqSIVuMtYML2DkmGz.jpg,,25000000.0,"[{'id': 53, 'name': 'Thriller'}]",,25137.0,en,Beyond a Reasonable Doubt,Remake of a 1956 Fritz Lang film in which a novelist's investigation of a dirty district attorney leads to a setup within the courtroom.,12.532,/uZvWmX3fhjnlIbiou5ziR6aVN7b.jpg,"[{'id': 3272, 'logo_path': None, 'name': 'Aramid Entertainment Fund', 'origin_country': 'GB'}, {'id': 11647, 'logo_path': None, 'name': 'Autonomous Films', 'origin_country': ''}, {'id': 21897, 'logo_path': None, 'name': 'Foresight Unlimited', 'origin_country': 'US'}, {'id': 61413, 'logo_path': None, 'name': 'Government of Saudi Arabia', 'origin_country': ''}, {'id': 23770, 'logo_path': '/t1Dc5SaJLBfRxtl0ttLGdaYICQ2.png', 'name': 'Signature Entertainment', 'origin_country': 'US'}, {'id': 46976, 'logo_path': '/A8LyPh201AmDlyBley6r9R3SZYS.png', 'name': 'RKO Pictures LLC', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-02-05,4388563.0,105.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Why would a man frame himself... for murder?,Beyond a Reasonable Doubt,0.0,5.692,279.0,PG-13,2009,2,5
tt1183276,0.0,/6HzWHiygvz3gofphxO7zcAvgkCp.jpg,,688225.0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://www.lahorde-lefilm.com/,37905.0,fr,La Horde,"A bunch of crooked cops raid a ruined building located in an impoverished suburb of Paris, determined to furiously avenge the death of one of them, murdered by the ruthless criminal gang hidden on top of the dark labyrinth that will become a deathly trap when the living, unexpectedly turned into the undead by a mysterious plague, begin to devour the world.",10.342,/c3sYdfCg1vz6DG4XlQRpu8baxvM.jpg,"[{'id': 5125, 'logo_path': '/t3oWTsVukmEzrZzvfr37XRBibo5.png', 'name': 'Le Pacte', 'origin_country': 'FR'}, {'id': 5666, 'logo_path': '/AalHyxbwyvrfoQaXzpqUsdQt6qz.png', 'name': 'Capture The Flag Films', 'origin_country': 'FR'}, {'id': 8352, 'logo_path': None, 'name': 'Coficup', 'origin_country': ''}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 6301, 'logo_path': '/jma8ZaHq1KAzlXW3v0RswVOWSdn.png', 'name': 'CinéCinéma', 'origin_country': 'FR'}, {'id': 307, 'logo_path': '/gUi3pAUznQJpR296lw4mSVbB7zx.png', 'name': 'IFC Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-02-10,2.0,98.0,"[{'english_name': 'Czech', 'iso_639_1': 'cs', 'name': 'Český'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Horde,0.0,5.839,397.0,R,2010,2,10
