imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
tt0221197,0.0,,,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,138069.0,en,G-Men from Hell,"Two G-Men, returning from hell, must perform good deeds to save themselves from a doomed fate.",1.508,/8ZvTs60SsvKQg06bejizCOGYYvW.jpg,"[{'id': 552, 'logo_path': '/9dGdLfm3GteWeUDtD9c9tvlidUG.png', 'name': 'Dark Horse Entertainment', 'origin_country': 'US'}, {'id': 35362, 'logo_path': None, 'name': 'Sawmill Entertainment Corporation', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-12-07,0.0,98.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,G-Men from Hell,0.0,3.9,7.0,
tt0221431,0.0,/5oINhDVNRUJP32rPK7uEjJ9JuJC.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,134803.0,en,The Newcomers,A 12-year-old boy and his family start life over in a new town.,1.876,/qRJ3H0CHH2srTwH2L2VRlXlR0s3.jpg,"[{'id': 26646, 'logo_path': None, 'name': 'Edgewood Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-10-01,0.0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Newcomers,0.0,3.727,12.0,
tt0221563,0.0,/nGf1Q4P019NcrHwnMY9NpqwUOFX.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,34056.0,en,Sorted,A young lawyer gets more than he bargains for while investigating his brother's mysterious death.,2.44,/pDX435FpvTW9rBqkmGUnY4P7kQl.jpg,"[{'id': 5398, 'logo_path': None, 'name': 'Excell Film Agentur', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-10-06,0.0,102.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Sorted,0.0,5.667,12.0,
tt0221823,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,640652.0,en,Bel Air,Christopher Coppola's tongue-in-cheek spin on SUNSET BOULEVARD stars brother Marc as a pizza delivery guy who dreams of recapturing his onetime glory as a child television star.,1.4,/7rpcBHmUXjUVgcphKxywGrDVWIJ.jpg,[],[],2000-03-01,0.0,110.0,[],Released,,Bel Air,0.0,0.0,0.0,
tt0221838,0.0,/677kz71I1J0uHXVBZpsH9XuEVT1.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,24309.0,en,Borstal Boy,"Based on Irish poet Brendan Behan's experiences in a reform school in 1942.  A 16 year-old Irish republican terrorist arrives on the ferry at Liverpool and  is arrested for possession of explosives. He is imprisoned in a Borstal in  East Anglia, where he is forced to live with his would-be enemies, an experience that profoundly changes his life.",4.481,/1wtBSqyuRqiab8Bfdp38FngbIje.jpg,"[{'id': 12745, 'logo_path': None, 'name': 'British Screen Productions', 'origin_country': 'GB'}, {'id': 7102, 'logo_path': '/dNuhKIiAChEJdGA7TXQgwqbFU6y.png', 'name': 'British Sky Broadcasting', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'IE', 'name': 'Ireland'}]",2001-03-22,0.0,93.0,"[{'english_name': 'Irish', 'iso_639_1': 'ga', 'name': 'Gaeilge'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Borstal Boy,0.0,6.0,37.0,
tt0221885,0.0,/8Q0PyaWboCfX4xzRxjyGNYAuhHA.jpg,,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,48123.0,en,Contaminated Man,"In this science fiction thriller, David Whitman (William Hurt) is a chemist who lost his wife and child in a freak accident and is trying to rebuild his life on his own. While doing research, Whitman discovers a series of mysterious deaths that seem to follow in the path of Joseph Mueller (Peter Weller), a seemingly ordinary man who works as a security guard. Unknown to Mueller, his body carries a strange contaminant that's deadly to many people, and Whitman is desperate to find Mueller and stop him before he can cause more deaths.",4.99,/c48V2n84yY9bDW4IgUIZjqp9o72.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-12-17,0.0,100.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Contaminated Man,0.0,4.625,16.0,
tt0221889,0.0,/PncTIHqTcartOXIvm3TopbL0d7.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,15940.0,en,Beautiful Creatures,"When Petula and Dorothy cover up the accidental murder of one jerk boyfriend, they hatch a hilarious scheme to collect a huge ransom.",6.213,/zOKaYzY14ZpVy6nG4kAelyLZQ4Q.jpg,"[{'id': 284, 'logo_path': None, 'name': 'DNA Films', 'origin_country': 'GB'}, {'id': 52607, 'logo_path': None, 'name': 'DNA Pictures International', 'origin_country': ''}, {'id': 718, 'logo_path': None, 'name': 'Arts Council of England', 'origin_country': 'GB'}, {'id': 52608, 'logo_path': None, 'name': 'Snakeman Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2000-08-23,313768.0,85.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Beautiful Creatures,0.0,5.697,66.0,R
tt0221928,0.0,/kkgYfLabemM98GDTkoyXP8J8TyL.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,10558.0,en,Seven Days to Live,A grieving woman suffers terrifying visions of her own demise after she and her husband move into a country mansion.,4.642,/lalEkaTYF87Srr1KHXVUaHCTBkw.jpg,"[{'id': 191, 'logo_path': '/d5tPJd8jGLtJC5cp9NG0HeoTyoe.png', 'name': 'Senator Film', 'origin_country': 'DE'}, {'id': 7244, 'logo_path': None, 'name': 'Roof Top Entertainment', 'origin_country': ''}, {'id': 7245, 'logo_path': None, 'name': 'EIS Production s.r.o.', 'origin_country': ''}, {'id': 7246, 'logo_path': None, 'name': 'Indigo Film Indigo Film', 'origin_country': ''}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-06-25,676805.0,96.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Seven Days to Live,0.0,5.413,40.0,
tt0221982,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",,423976.0,hi,गज गामिनी,"A mysterious and beautiful woman, in her various incarnations, inspires artists throughout the ages.",2.403,/xYZPJR3XxygPEVGvPSryKJyZqXF.jpg,"[{'id': 116356, 'logo_path': None, 'name': 'Dashaka Films', 'origin_country': ''}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2000-12-01,0.0,122.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Gaja Gamini,0.0,6.7,6.0,
tt0222012,0.0,/xVyr4pHiJ0mYjOooG5QSDLM9EFw.jpg,,3900000.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,60579.0,ta,ஹே ராம்,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country. He sets out to kill him.,7.356,/hHaq5QffND0x8dXEqjVPAmFlJv6.jpg,"[{'id': 7202, 'logo_path': '/tanmRcGlEgtAZhdcU7kMGZvYFbr.png', 'name': 'Raajkamal Films International', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2000-02-18,4900000.0,199.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Tamil', 'iso_639_1': 'ta', 'name': 'தமிழ்'}]",Released,An Experiment With Truth,Hey Ram,0.0,6.654,39.0,PG-13
tt0222020,0.0,/ayqZSMLDouvyqGKFg58oWM2rPRR.jpg,,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,52842.0,en,Mach 2,"A Presidential candidate running against the Vice-President plans a trip to the Balkans to negotiate the release of American servicemen being held hostage. Before he leaves, he receives a disk documenting evidence that the Vice-President has been trying to revive the American economy by causing a war in the Balkans. He plans to show it to both sides in the hopes of ending the situation. However, Secret Service agents hijack the Concorde he is on and kill the pilots. It's up to an Air Force officer, nicknamed ""Washout"" because he can't fly a plane, to land the Concorde. Written by Leigh Roche",3.21,/pDUItknrFQculNaBsDGA21toEAR.jpg,"[{'id': 46648, 'logo_path': None, 'name': 'Little Light Productions', 'origin_country': 'US'}, {'id': 3903, 'logo_path': '/scJ51vavJ3t27v5zqlSbtnMv8u3.png', 'name': 'Unified Film Organization', 'origin_country': 'US'}]",[],2001-01-01,0.0,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The fate of a nation rests on the courage of one man.,Mach 2,0.0,4.7,6.0,
tt0222023,0.0,,,0.0,[],,550283.0,es,Hubo un tiempo en que los sueños dieron paso a largas noches de insomnio...,"Bruno, a young prostitute on the streets of Mexico city, spends his free time yearning for his straight friend Umberto. When Umberto rejects him, Bruno reacts with his own violent and misguided actions...",1.039,/4WGWQ1bbRV5iZN0dTvYW5WWESeM.jpg,[],"[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2000-06-16,0.0,50.0,[],Released,,Long Sleepless Nights,0.0,5.0,2.0,
tt0222270,0.0,/dagl8l1HHAIiN8dXeZ21HUuxrMt.jpg,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,97351.0,hi,फिर भी दिल है हिंदुस्तानी,Two rival reporters team up to help prove the innocence of a man set to be hanged for the murder of a politician.,6.292,/1ubFkUkzu44BWGDqpg7R13isUrq.jpg,"[{'id': 2343, 'logo_path': '/fkrlAFxgAtIHgYJGIQcDggeucKV.png', 'name': 'Red Chillies Entertainment', 'origin_country': 'IN'}, {'id': 1570, 'logo_path': None, 'name': 'Dreamz Unlimited', 'origin_country': ''}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2000-01-21,0.0,160.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,"Love, laughter, and freedom.",Phir Bhi Dil Hai Hindustani,0.0,6.507,72.0,
tt0222293,0.0,/9KgLQ8C4dGLaQmq5u9ORLewlnQx.jpg,,0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,38987.0,en,Possible Worlds,"The same man lives out several parallel lives in different ""worlds"" and in different relationships at the same time.",4.226,/jfjNjtKZq5jwkiutnb7JzpqcLmk.jpg,"[{'id': 42050, 'logo_path': None, 'name': 'The East Side Film Company', 'origin_country': ''}, {'id': 25817, 'logo_path': None, 'name': 'In Extremis Images', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2000-09-04,0.0,93.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Possible Worlds,0.0,6.471,35.0,
tt0222375,0.0,,,6000000.0,"[{'id': 53, 'name': 'Thriller'}]",,73677.0,en,"Sleep Easy, Hutch Rimes","Insurance agent Hutch Rimes spends a lot of time at the Sleep Easy Hotel, taking long lurid lunch breaks with a string of sexy secretaries who he hires for their ""special talents"".  Ten years ago, one of his office honeys tried to get him to kill her abusive husband. The plan backfired when the hubby killed her by mistake, got sent up the river, and lucky Hutch made a fortune buying off a piece of his ranch.  But now it's trouble time -- there's a stalker in the suburbs who wants Hutch dead. Is it the cold-blooded killer just out of jail, the jealous husband of his latest fling, or another psycho enemy he's made along the way?  Steven Weber (Wings), Swoosie Kurts (Sisters) and Gail O'Grady (NYPD Blue) star in this hilariously sinister thriller that proves the worst thing in life can also be the funniest.",2.216,/hMnmnhSy3cyNZVhN6JvwjrugELf.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-11-05,0.0,99.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,There's no rest for the wicked.,"Sleep Easy, Hutch Rimes",0.0,3.8,3.0,
tt0222666,0.0,,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,32555.0,en,24 Hours in London,"London gangster Christian has a plan to kill off the opposition, but things get messy when a witness survives.",1.4,/6oIFLN8kcs0zQxoeldgLry2V0rf.jpg,"[{'id': 5725, 'logo_path': None, 'name': 'One World Films', 'origin_country': 'FR'}, {'id': 1164, 'logo_path': None, 'name': 'City Heat Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2000-07-14,0.0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,24 Hours in London,0.0,3.0,2.0,
